Year,Term,Avg Score (1-5)
2009,Fall,2.7
2010,Spring,2.9
2010,Summer,2.1
2010,Fall,2.7
2011,Spring,2.9
2011,Summer,3.1
2011,Fall,2.2
2012,Spring,1.7
2012,Summer,2
2012,Fall,2.4
2013,Spring,1.6
2013,Summer,2.6
2013,Fall,2.6
2014,Spring,2.6
2014,Summer,2
2014,Fall,3.3
2015,Spring,2.3
2015,Summer,3.5
2015,Fall,3.6
2016,Spring,3.8
2016,Summer,4
2016,Fall,2.9
2017,Spring,3.7
2017,Summer,4
2017,Fall,3.2
2018,Spring,2.4
2018,Summer,2.4
2018,Fall,2.4
2019,Spring I,2.5
2019,Spring II,2.8
2019,Summer,2.8
2019,Fall,2.8
2020,COVID,-
2021,Fall,3
2022,Spring,3
2022,Summer,3.3
2022,Fall,2.7
2023,Spring,3
2023,Summer,3
2023,Fall,2.9
2024,Spring,2.8
2024,Summer,2.8
2024,Fall,3
2025,Spring,2.5
2025,Summer,1.7
